c x ; y coordenates
0;0
0.78;0
0.788;0
0.249;0.498
0.78;0.498
0.2715;0.548
0.3495;0.548
0.392;0.548
0.48;0.548
0.2715;2.043
0.3495;2.043
0.392;2.043
0.48;2.043
0.249;2.093
0.78;2.093
0;2.591
0.78;2.591
0.788;2.591
0;-0.1
0.888;-0.1
0.888;2.691
0;2.691
0.26;0
0.52;0
0.13;0
0.39;0
0.65;0
0.78;0.249
0.78;0.1245
0.78;0.3735
0.5145;0.498
0.64725;0.498
0.38175;0.498
0.249;0.725857143
0.249;0.953714286
0.249;1.181571429
0.249;1.409428571
0.249;1.637285714
0.249;1.865142857
0.249;0.611928571
0.249;0.839785714
0.249;1.067642857
0.249;1.2955
0.249;1.523357143
0.249;1.751214286
0.249;1.979071429
0.5145;2.093
0.38175;2.093
0.64725;2.093
0.78;2.342
0.78;2.2175
0.78;2.4665
0.52;2.591
0.26;2.591
0.65;2.591
0.39;2.591
0.13;2.591
0;2.375083333
0;2.159166667
0;1.94325
0;1.727333333
0;1.511416667
0;1.2955
0;1.079583333
0;0.863666667
0;0.64775
0;0.431833333
0;0.215916667
0;2.483041667
0;2.267125
0;2.051208333
0;1.835291667
0;1.619375
0;1.403458333
0;1.187541667
0;0.971625
0;0.755708333
0;0.539791667
0;0.323875
0;0.107958333
0.78;1.865142857
0.78;1.637285714
0.78;1.409428571
0.78;1.181571429
0.78;0.953714286
0.78;0.725857143
0.78;1.979071429
0.78;1.751214286
0.78;1.523357143
0.78;1.2955
0.78;1.067642857
0.78;0.839785714
0.78;0.611928571
0.784;0
0.788;0.215916667
0.788;0.431833333
0.788;0.64775
0.788;0.863666667
0.788;1.079583333
0.788;1.2955
0.788;1.511416667
0.788;1.727333333
0.788;1.94325
0.788;2.159166667
0.788;2.375083333
0.788;0.107958333
0.788;0.323875
0.788;0.539791667
0.788;0.755708333
0.788;0.971625
0.788;1.187541667
0.788;1.403458333
0.788;1.619375
0.788;1.835291667
0.788;2.051208333
0.788;2.267125
0.788;2.483041667
0.784;2.591
0.3105;0.548
0.3495;0.761571429
0.3495;0.975142857
0.3495;1.188714286
0.3495;1.402285714
0.3495;1.615857143
0.3495;1.829428571
0.3495;0.654785714
0.3495;0.868357143
0.3495;1.081928571
0.3495;1.2955
0.3495;1.509071429
0.3495;1.722642857
0.3495;1.936214286
0.3105;2.043
0.2715;1.829428571
0.2715;1.615857143
0.2715;1.402285714
0.2715;1.188714286
0.2715;0.975142857
0.2715;0.761571429
0.2715;1.936214286
0.2715;1.722642857
0.2715;1.509071429
0.2715;1.2955
0.2715;1.081928571
0.2715;0.868357143
0.2715;0.654785714
0.436;0.548
0.48;0.761571429
0.48;0.975142857
0.48;1.188714286
0.48;1.402285714
0.48;1.615857143
0.48;1.829428571
0.48;0.654785714
0.48;0.868357143
0.48;1.081928571
0.48;1.2955
0.48;1.509071429
0.48;1.722642857
0.48;1.936214286
0.436;2.043
0.392;1.829428571
0.392;1.615857143
0.392;1.402285714
0.392;1.188714286
0.392;0.975142857
0.392;0.761571429
0.392;1.936214286
0.392;1.722642857
0.392;1.509071429
0.392;1.2955
0.392;1.081928571
0.392;0.868357143
